500 10000
316 402 45 
77 21 767 
260 31 930 
103 111 89 
354 350 495 
356 131 378 
117 101 436 
431 235 978 
18 223 524 
377 16 592 
165 412 232 
216 269 403 
484 494 851 
156 434 148 
320 499 468 
346 466 816 
287 271 159 
411 473 155 
172 21 110 
260 49 22 
429 281 517 
369 338 699 
96 12 671 
34 173 140 
111 461 380 
84 294 26 
382 346 714 
295 39 926 
216 465 506 
460 416 602 
260 362 491 
489 81 574 
266 137 699 
49 334 549 
334 306 495 
295 286 441 
252 76 732 
26 16 522 
18 161 245 
192 54 552 
306 299 936 
257 387 487 
349 326 407 
240 244 711 
139 268 606 
352 141 531 
118 470 413 
392 299 921 
411 341 527 
72 116 900 
326 126 4 
138 468 859 
477 140 507 
209 62 703 
54 219 766 
221 50 344 
379 149 338 
28 166 573 
102 243 114 
433 488 492 
403 184 162 
29 80 149 
191 235 884 
207 213 651 
31 155 815 
460 449 902 
86 386 573 
402 16 522 
139 431 870 
195 294 812 
470 263 420 
375 290 881 
95 170 743 
440 360 72 
440 356 359 
81 45 417 
338 49 563 
440 407 770 
449 318 879 
57 244 377 
344 192 121 
72 39 478 
120 355 391 
315 488 681 
182 455 860 
215 398 73 
242 250 451 
371 250 933 
74 151 110 
487 41 408 
482 120 834 
65 100 196 
288 170 440 
217 293 368 
301 192 429 
336 75 996 
202 350 850 
397 410 374 
240 5 639 
323 324 799 
179 189 389 
347 168 145 
334 146 855 
73 158 602 
461 3 382 
173 259 264 
417 146 124 
25 318 458 
78 189 756 
6 333 795 
145 281 415 
258 161 719 
116 422 465 
26 187 73 
284 102 832 
420 212 293 
179 91 935 
185 295 463 
473 314 406 
223 26 596 
433 375 131 
333 53 834 
330 291 983 
461 10 194 
262 484 279 
296 360 837 
330 418 731 
175 322 535 
162 333 870 
459 222 276 
59 476 416 
482 419 333 
268 264 818 
332 465 243 
299 471 126 
444 124 196 
418 82 603 
420 312 672 
436 196 668 
1 58 676 
228 315 574 
176 17 855 
331 186 577 
373 30 279 
89 222 91 
497 449 594 
346 17 487 
448 285 434 
102 345 482 
474 137 244 
239 477 127 
429 481 217 
392 4 50 
321 481 573 
65 69 825 
328 251 505 
60 264 903 
139 335 387 
416 196 243 
365 62 648 
425 101 22 
94 53 361 
360 390 667 
176 291 157 
85 147 223 
203 336 887 
171 290 437 
418 350 792 
142 425 264 
267 85 73 
376 500 122 
213 83 773 
217 107 33 
54 465 266 
397 242 257 
142 107 381 
465 105 764 
288 309 356 
99 454 114 
350 396 18 
58 374 895 
173 328 382 
166 108 17 
393 458 393 
416 365 878 
172 65 943 
177 182 80 
389 286 845 
409 247 643 
177 218 349 
460 141 626 
79 373 777 
307 126 855 
305 158 126 
67 187 262 
102 64 751 
230 36 964 
99 118 684 
428 41 152 
405 61 945 
31 23 830 
401 71 227 
300 200 655 
494 27 813 
16 207 108 
434 488 671 
120 418 717 
112 295 227 
224 1 410 
12 467 514 
430 189 794 
166 305 624 
323 327 259 
494 14 207 
281 322 377 
225 61 137 
272 293 484 
41 444 362 
150 51 842 
414 457 971 
399 407 840 
322 225 694 
235 408 193 
466 201 467 
259 190 227 
493 450 137 
345 230 279 
370 205 31 
97 152 814 
359 138 409 
362 393 577 
400 317 0 
174 314 472 
265 247 318 
70 429 399 
424 194 56 
383 229 292 
500 481 742 
399 175 199 
272 301 251 
288 101 514 
305 374 990 
278 400 146 
262 54 246 
168 286 679 
423 35 877 
73 167 744 
202 331 585 
248 278 615 
307 463 256 
311 20 343 
86 13 611 
285 212 731 
183 187 376 
292 44 418 
163 56 685 
436 282 532 
31 488 475 
497 56 550 
64 350 475 
223 30 918 
430 220 998 
63 275 847 
333 96 656 
229 487 159 
142 70 973 
427 299 62 
475 463 467 
231 142 431 
100 434 385 
408 380 673 
342 361 314 
345 85 921 
2 83 176 
100 90 668 
259 338 323 
161 234 93 
223 436 147 
471 327 883 
102 331 170 
83 9 109 
281 181 964 
12 123 30 
444 444 914 
87 274 487 
469 408 583 
236 275 754 
87 167 513 
415 191 968 
151 3 455 
422 446 250 
420 367 423 
203 355 526 
46 263 404 
133 392 308 
379 93 621 
164 323 154 
228 93 533 
463 82 409 
84 16 565 
71 493 333 
178 155 163 
190 162 642 
19 302 335 
273 40 491 
127 144 439 
163 330 1 
51 487 318 
175 478 165 
59 493 41 
393 481 220 
128 51 437 
142 122 549 
426 442 671 
379 279 902 
380 427 234 
131 500 375 
373 150 992 
215 384 642 
52 232 182 
252 432 931 
146 450 629 
273 488 831 
95 28 976 
435 383 32 
188 260 970 
115 97 597 
275 449 84 
386 389 709 
442 26 71 
135 498 500 
375 344 945 
456 345 171 
142 408 482 
352 456 399 
452 85 210 
187 275 263 
118 404 659 
262 168 453 
334 304 21 
189 410 542 
374 485 794 
227 380 407 
352 123 214 
204 331 276 
151 172 689 
390 478 903 
488 11 53 
82 205 796 
302 6 922 
273 55 73 
192 279 481 
205 196 559 
350 471 590 
142 6 387 
283 373 554 
59 135 161 
405 178 265 
208 96 648 
37 265 470 
50 190 493 
109 67 438 
497 177 893 
220 175 802 
151 492 577 
72 276 507 
365 250 82 
87 109 385 
133 188 164 
123 429 894 
483 396 250 
275 143 719 
244 258 352 
207 430 20 
480 458 569 
201 499 588 
205 404 43 
66 273 575 
341 485 207 
416 282 293 
489 154 985 
167 292 522 
404 42 682 
103 298 200 
141 82 197 
436 397 789 
81 46 247 
259 381 392 
167 434 597 
494 391 955 
389 412 687 
314 421 769 
293 199 420 
239 401 691 
276 407 295 
238 294 899 
130 215 464 
330 1 91 
340 282 668 
327 373 982 
392 140 5 
30 44 927 
391 108 253 
370 144 296 
455 237 923 
126 446 753 
235 342 474 
254 105 898 
480 418 974 
75 460 263 
386 199 771 
228 388 419 
324 319 742 
137 415 781 
60 91 788 
39 496 425 
317 421 945 
473 216 799 
124 189 829 
115 21 94 
22 431 955 
435 413 512 
500 376 417 
202 106 109 
49 182 204 
412 194 900 
409 483 417 
363 409 458 
297 208 603 
494 334 739 
313 3 130 
339 449 328 
226 119 681 
73 130 704 
346 300 73 
102 440 216 
393 367 959 
371 358 195 
11 108 839 
110 381 420 
339 136 836 
312 26 634 
55 229 725 
207 9 538 
321 52 436 
122 14 330 
188 316 545 
40 385 763 
93 25 470 
170 420 368 
394 427 278 
352 408 898 
207 436 182 
266 278 351 
486 363 235 
119 71 802 
201 412 868 
20 302 755 
490 244 355 
83 365 879 
339 156 150 
454 144 22 
473 296 830 
106 285 30 
321 292 155 
154 35 574 
106 185 35 
33 379 275 
188 386 303 
484 178 622 
174 349 154 
283 259 697 
404 345 459 
81 369 328 
221 7 806 
282 467 567 
494 288 729 
256 56 444 
273 238 585 
363 75 525 
294 173 32 
379 455 508 
232 205 162 
18 347 693 
126 86 947 
411 372 288 
328 167 835 
221 213 431 
192 30 644 
105 260 738 
257 345 367 
62 252 416 
15 407 541 
367 58 632 
256 275 707 
361 257 976 
474 353 382 
93 316 489 
344 153 700 
246 425 801 
225 90 234 
264 12 872 
230 170 675 
299 94 357 
212 411 51 
70 423 924 
411 429 22 
138 488 736 
415 50 782 
399 7 605 
274 9 627 
156 15 577 
326 161 815 
369 368 687 
378 65 316 
53 2 569 
106 442 616 
440 121 88 
297 189 804 
324 195 798 
491 32 592 
166 481 864 
237 126 159 
358 436 39 
396 36 186 
119 21 683 
326 97 344 
159 137 22 
115 491 662 
465 111 61 
145 394 651 
91 193 741 
267 129 24 
242 142 935 
294 484 886 
435 173 6 
156 96 225 
409 256 220 
96 272 183 
447 323 495 
70 140 352 
347 92 82 
181 22 244 
286 149 384 
434 176 289 
161 460 747 
397 332 934 
398 259 809 
289 154 323 
30 51 691 
217 98 516 
272 162 984 
4 307 982 
322 264 627 
143 96 171 
465 222 144 
437 199 196 
401 379 869 
165 413 571 
43 302 806 
209 55 744 
330 162 504 
450 254 175 
135 227 409 
478 228 959 
88 242 685 
454 258 597 
372 201 981 
191 173 963 
50 415 132 
393 53 795 
191 391 351 
122 70 96 
61 13 704 
45 357 580 
294 466 590 
289 498 64 
188 137 257 
406 120 983 
68 138 44 
290 321 656 
176 268 920 
39 440 171 
242 426 957 
299 49 123 
61 217 397 
331 68 422 
129 337 473 
391 285 187 
78 117 634 
243 301 97 
172 16 785 
207 459 932 
123 133 407 
71 401 587 
406 297 681 
412 259 659 
192 276 755 
64 98 560 
351 287 608 
386 132 117 
26 192 123 
83 24 794 
141 173 842 
66 112 508 
150 132 284 
256 56 146 
412 491 907 
155 344 226 
82 333 198 
56 350 82 
64 19 185 
424 118 858 
185 146 479 
333 101 690 
382 22 227 
442 7 235 
93 358 63 
321 439 54 
469 286 934 
180 443 322 
88 271 966 
360 82 986 
322 81 661 
37 470 778 
222 96 496 
249 66 341 
184 192 629 
468 363 773 
434 1 506 
197 211 655 
312 269 380 
470 237 770 
132 384 778 
332 44 566 
152 455 59 
237 71 720 
377 5 623 
306 33 691 
499 247 768 
387 291 24 
234 154 962 
78 208 213 
418 184 594 
290 93 818 
234 27 772 
218 198 326 
456 149 301 
308 256 150 
472 126 984 
451 252 490 
138 2 1000 
13 452 47 
452 30 154 
470 268 306 
184 146 91 
223 481 660 
292 224 949 
253 259 372 
270 344 420 
402 23 100 
291 480 685 
55 321 817 
318 31 524 
188 84 744 
336 327 115 
300 370 932 
31 108 579 
485 182 175 
133 407 904 
25 283 481 
350 496 118 
245 407 2 
36 100 417 
53 1 973 
299 213 916 
17 158 804 
114 307 404 
235 134 202 
323 190 987 
121 294 429 
107 346 269 
11 477 353 
67 240 688 
139 111 136 
342 284 718 
393 360 259 
499 200 155 
60 99 156 
31 417 277 
293 310 352 
180 477 493 
135 74 521 
432 289 304 
7 477 860 
454 113 256 
121 476 902 
184 58 515 
207 9 327 
292 141 827 
468 466 873 
459 55 516 
67 428 136 
72 319 705 
436 314 867 
306 131 24 
480 264 367 
275 467 963 
365 149 578 
94 229 171 
279 386 549 
13 168 480 
487 382 485 
393 416 137 
183 15 858 
366 182 648 
174 167 240 
407 68 346 
455 51 194 
117 262 515 
92 103 66 
491 251 502 
177 264 364 
139 164 613 
498 226 496 
467 436 824 
20 223 270 
76 354 959 
306 434 937 
460 409 950 
192 18 172 
143 137 288 
116 272 1 
16 70 109 
99 308 151 
306 80 549 
298 192 453 
365 345 306 
450 72 107 
485 316 601 
315 66 128 
447 464 29 
343 304 38 
117 301 807 
150 84 68 
243 81 813 
247 342 141 
454 265 435 
236 116 249 
110 406 289 
105 327 225 
46 159 368 
438 4 862 
346 100 495 
260 129 948 
141 54 567 
57 100 902 
306 426 6 
113 414 19 
446 427 643 
2 322 866 
48 118 248 
225 431 519 
243 298 754 
131 3 166 
277 435 826 
254 488 690 
345 310 26 
91 136 421 
118 497 137 
97 211 102 
216 171 680 
156 231 633 
379 195 474 
322 212 566 
217 35 466 
308 302 475 
116 487 151 
216 258 979 
213 496 817 
268 335 197 
392 152 939 
16 98 145 
366 152 333 
495 244 765 
15 223 660 
84 329 109 
390 125 528 
264 223 154 
297 326 143 
457 418 602 
100 354 63 
190 244 700 
205 423 252 
119 451 175 
462 384 814 
275 280 486 
267 21 783 
458 297 158 
360 19 511 
30 204 11 
30 35 110 
192 489 241 
181 10 419 
471 411 314 
167 272 897 
266 323 369 
77 113 914 
111 24 608 
284 114 183 
92 209 633 
349 391 38 
270 123 832 
323 232 965 
455 365 335 
483 286 964 
321 296 26 
277 249 749 
194 146 497 
152 222 928 
160 4 754 
215 492 94 
435 3 453 
220 237 345 
10 337 552 
204 157 783 
270 248 295 
432 278 374 
77 167 867 
56 494 274 
290 8 871 
47 310 804 
490 455 758 
425 104 172 
333 498 346 
116 387 556 
158 275 89 
100 278 399 
67 465 495 
182 50 575 
187 378 681 
222 55 925 
463 277 721 
350 334 25 
130 393 859 
396 67 120 
376 231 505 
256 4 608 
141 9 434 
469 94 928 
217 390 494 
41 37 626 
20 473 708 
255 216 402 
135 40 367 
187 124 871 
242 88 96 
478 38 260 
98 195 611 
99 494 575 
85 228 367 
382 1 344 
233 49 692 
111 482 647 
453 89 812 
124 425 10 
230 284 265 
224 257 900 
186 27 914 
316 264 33 
33 488 353 
424 271 449 
229 481 859 
434 10 847 
53 4 353 
314 5 658 
320 373 257 
243 300 41 
377 72 492 
148 452 873 
56 484 572 
360 70 450 
437 388 732 
206 354 822 
422 407 524 
294 201 442 
370 369 271 
371 480 687 
207 213 845 
57 19 891 
207 343 287 
125 434 702 
211 331 19 
242 307 325 
258 63 405 
242 213 791 
428 167 50 
201 1 557 
412 305 428 
214 181 798 
243 50 476 
285 238 13 
164 41 380 
319 121 944 
217 97 59 
296 306 867 
400 443 816 
398 27 86 
204 72 215 
156 39 775 
116 305 971 
443 278 563 
318 381 221 
209 113 499 
373 52 440 
391 464 119 
414 388 47 
409 480 177 
61 281 75 
134 270 146 
490 290 640 
458 40 144 
435 382 510 
479 207 136 
400 390 954 
278 76 263 
385 456 412 
228 47 426 
325 367 792 
311 333 295 
493 276 685 
375 119 8 
186 299 825 
105 93 665 
308 451 306 
164 360 773 
65 233 140 
411 105 855 
395 139 872 
395 342 745 
390 118 569 
461 386 983 
457 490 815 
433 349 419 
17 456 630 
416 248 267 
252 283 780 
263 1 288 
405 315 63 
206 405 543 
251 334 358 
255 475 323 
463 314 950 
216 239 529 
64 25 714 
68 137 760 
424 395 452 
106 343 340 
286 229 804 
82 460 573 
44 497 389 
171 326 438 
205 105 814 
218 321 50 
114 142 363 
257 152 187 
124 170 838 
268 399 456 
493 193 83 
56 84 182 
445 134 558 
450 376 284 
82 451 239 
406 374 811 
60 416 432 
371 465 766 
169 110 588 
434 291 194 
293 342 447 
90 497 694 
401 285 439 
233 137 444 
397 213 335 
458 78 665 
390 68 146 
477 164 543 
68 192 923 
366 190 158 
493 277 867 
97 483 170 
194 433 225 
460 405 85 
131 274 281 
399 452 274 
24 147 220 
467 193 773 
115 18 534 
300 170 683 
238 232 558 
387 106 609 
456 224 567 
148 132 766 
397 30 535 
420 85 792 
398 277 268 
442 439 301 
227 415 601 
442 445 869 
455 254 278 
386 390 764 
482 89 353 
350 130 769 
417 498 602 
68 271 503 
200 194 216 
495 170 986 
222 70 819 
431 284 945 
137 455 325 
3 499 96 
462 88 37 
335 432 724 
14 350 992 
152 223 95 
46 431 84 
234 445 299 
47 490 498 
337 165 729 
89 201 944 
37 313 970 
264 77 779 
268 99 937 
413 119 66 
251 47 572 
260 23 448 
89 222 83 
298 307 523 
335 189 373 
32 269 706 
442 260 899 
254 453 344 
458 56 56 
145 274 995 
381 104 987 
302 150 852 
107 120 769 
44 470 950 
78 458 447 
125 326 451 
363 422 507 
120 134 473 
417 337 1000 
210 475 586 
295 238 671 
316 54 685 
375 152 702 
159 430 738 
138 142 657 
317 176 22 
244 63 649 
149 163 369 
288 75 784 
317 408 410 
129 372 463 
254 330 69 
239 430 310 
270 425 359 
205 115 993 
313 298 873 
32 55 705 
203 72 799 
90 401 329 
442 304 97 
29 286 522 
372 446 709 
43 258 832 
229 378 948 
190 255 126 
452 209 428 
24 478 268 
64 226 111 
385 249 174 
404 393 521 
321 123 203 
172 288 3 
307 375 516 
358 455 860 
238 316 128 
9 365 14 
51 91 526 
170 115 85 
26 470 488 
242 93 357 
171 294 496 
147 85 981 
235 17 859 
268 113 321 
381 427 350 
345 383 541 
196 282 319 
215 496 248 
285 261 715 
139 128 633 
239 96 943 
454 87 822 
353 453 606 
151 291 142 
200 282 233 
431 478 301 
175 324 764 
406 498 604 
392 500 192 
422 338 750 
124 241 779 
299 479 141 
258 32 531 
44 474 611 
23 466 219 
111 407 714 
243 199 979 
254 185 268 
429 203 128 
416 87 731 
495 255 899 
166 355 992 
136 95 891 
449 132 895 
52 91 182 
200 184 838 
366 7 577 
447 482 711 
304 192 231 
380 470 274 
52 385 387 
182 287 298 
64 29 10 
185 207 154 
218 56 804 
344 144 168 
263 438 197 
157 51 194 
24 93 479 
66 352 173 
387 384 409 
104 374 374 
180 326 0 
147 52 110 
191 264 376 
498 106 289 
121 215 737 
6 257 70 
274 305 458 
152 468 906 
429 219 184 
404 150 824 
304 103 420 
37 187 221 
375 163 335 
93 416 717 
4 410 703 
455 44 901 
302 298 439 
394 10 461 
250 146 640 
287 468 791 
35 253 365 
222 147 894 
338 470 24 
1 173 550 
83 465 772 
164 387 351 
81 341 475 
78 315 279 
496 330 465 
163 481 516 
408 250 552 
331 428 352 
30 348 147 
226 225 538 
290 299 496 
494 156 395 
152 299 75 
383 209 709 
423 372 604 
372 312 573 
199 130 144 
290 477 418 
397 129 819 
202 103 263 
245 42 31 
409 496 540 
374 56 128 
186 257 244 
406 453 382 
90 191 200 
466 487 724 
362 490 483 
277 261 555 
37 328 151 
441 47 839 
328 496 525 
392 182 703 
394 49 209 
124 424 941 
4 81 948 
470 274 176 
410 352 33 
364 53 140 
17 218 87 
477 237 623 
44 401 983 
190 490 321 
397 455 996 
278 23 882 
79 111 410 
498 141 457 
320 27 225 
438 151 152 
128 401 149 
243 205 122 
108 474 401 
188 203 287 
369 198 488 
300 402 271 
364 90 805 
387 248 119 
49 197 367 
71 74 141 
426 472 626 
464 205 780 
274 44 765 
310 266 717 
415 63 565 
167 84 591 
112 111 236 
400 78 641 
325 334 759 
105 396 723 
97 28 238 
248 328 68 
28 391 433 
454 398 506 
141 454 998 
234 52 124 
115 400 35 
147 298 489 
71 375 746 
352 329 545 
117 246 512 
218 250 557 
41 157 87 
307 189 152 
26 413 206 
337 165 891 
380 183 110 
40 169 290 
473 352 365 
42 75 615 
140 465 88 
150 173 480 
31 36 979 
346 467 970 
369 347 230 
213 252 784 
416 290 613 
173 130 509 
112 197 210 
361 160 34 
83 52 736 
226 243 89 
238 437 25 
459 264 805 
99 196 540 
286 137 637 
473 268 724 
279 76 610 
465 229 267 
357 186 55 
302 125 713 
405 438 372 
424 344 95 
493 489 405 
175 326 55 
479 236 451 
320 71 435 
231 16 663 
162 168 380 
428 323 659 
340 287 386 
272 189 893 
473 28 370 
439 417 407 
415 161 51 
27 408 867 
109 197 788 
224 434 124 
59 200 311 
143 162 422 
286 422 30 
43 343 725 
216 150 990 
54 241 901 
224 296 809 
431 67 290 
105 273 671 
457 431 4 
420 413 86 
241 405 1000 
323 91 871 
43 256 440 
169 424 738 
429 117 2 
143 29 736 
405 344 186 
354 279 133 
293 212 957 
360 125 757 
63 357 679 
305 488 755 
393 42 136 
172 36 680 
116 330 171 
449 225 762 
108 296 514 
3 355 349 
17 321 34 
420 392 736 
102 296 630 
49 261 560 
57 128 794 
33 437 308 
104 248 43 
31 328 278 
410 162 188 
284 385 394 
324 160 304 
244 55 480 
412 239 782 
499 484 467 
29 278 868 
107 1 569 
350 263 80 
168 57 433 
179 130 430 
365 468 18 
419 210 994 
484 6 161 
73 193 419 
114 342 724 
157 378 358 
328 489 64 
335 483 2 
169 287 204 
484 63 541 
170 431 470 
443 430 210 
474 213 45 
258 419 742 
383 394 244 
80 294 869 
43 492 224 
168 283 334 
351 261 515 
382 178 224 
117 88 619 
410 462 172 
468 441 715 
364 97 613 
39 263 961 
40 352 311 
375 247 879 
355 251 526 
52 257 362 
470 14 669 
433 412 853 
293 434 938 
256 346 566 
346 415 972 
121 239 15 
91 250 495 
374 80 411 
128 180 934 
324 248 945 
289 184 509 
497 409 542 
54 476 658 
115 128 57 
408 321 444 
449 477 491 
370 159 829 
448 281 601 
103 205 224 
209 198 872 
389 286 548 
238 321 525 
369 33 784 
22 193 549 
433 414 871 
184 291 166 
310 410 654 
226 363 200 
358 49 821 
253 389 263 
155 322 872 
461 304 80 
339 173 308 
85 351 879 
490 461 296 
307 467 85 
23 246 221 
413 223 957 
142 280 928 
72 105 219 
445 310 771 
164 309 405 
38 433 91 
73 369 575 
22 472 76 
23 173 544 
467 306 99 
402 463 926 
358 202 60 
235 31 38 
184 245 936 
160 488 623 
319 396 523 
329 488 227 
96 298 878 
252 109 140 
388 279 417 
316 116 242 
315 53 495 
435 118 420 
261 471 67 
268 335 798 
432 147 245 
143 295 391 
158 64 216 
447 246 158 
480 78 938 
353 245 125 
357 480 874 
263 151 77 
271 451 264 
303 458 284 
317 109 763 
305 325 427 
111 275 90 
494 445 773 
192 277 128 
224 107 690 
358 68 861 
108 365 642 
316 382 978 
72 169 447 
194 324 267 
172 204 866 
497 324 625 
158 439 26 
385 4 32 
407 162 924 
231 6 179 
434 476 332 
157 274 270 
464 418 435 
200 199 497 
221 234 498 
440 81 674 
473 117 376 
94 208 290 
445 115 693 
396 421 5 
189 263 278 
493 457 330 
252 81 729 
316 314 119 
275 412 734 
94 10 134 
380 113 495 
270 285 647 
415 478 509 
40 126 177 
195 99 884 
428 20 826 
9 380 86 
36 246 720 
449 157 152 
109 460 139 
236 412 7 
162 432 979 
386 422 222 
384 290 557 
51 415 621 
146 140 415 
500 49 780 
300 179 369 
238 235 781 
314 95 221 
189 309 41 
302 272 468 
125 384 250 
57 235 919 
375 147 42 
206 254 394 
306 244 845 
297 448 735 
392 137 218 
483 189 357 
171 23 815 
299 346 732 
251 426 492 
461 351 733 
56 181 582 
487 165 49 
28 35 303 
110 282 334 
291 116 911 
81 342 124 
341 196 745 
138 466 538 
288 325 426 
57 208 546 
461 3 168 
493 281 236 
482 377 100 
34 223 321 
149 9 938 
354 165 34 
7 58 417 
443 263 523 
180 473 416 
15 157 277 
273 91 418 
469 492 800 
320 53 412 
92 119 237 
292 381 937 
108 68 181 
45 323 58 
431 264 590 
290 387 659 
350 438 713 
105 475 680 
38 339 452 
344 353 994 
85 138 78 
241 425 380 
434 260 939 
37 43 654 
67 350 978 
190 50 648 
346 476 615 
124 375 408 
453 34 125 
425 448 616 
219 381 167 
355 467 461 
70 48 925 
296 459 77 
337 24 241 
84 457 818 
348 374 972 
278 70 691 
30 261 173 
485 454 823 
362 203 842 
111 270 79 
210 151 527 
307 264 124 
21 32 225 
12 438 71 
418 249 366 
178 153 831 
63 95 137 
316 111 761 
173 337 448 
49 297 126 
331 171 436 
273 213 421 
387 203 876 
133 29 565 
45 173 645 
226 232 972 
42 47 200 
417 434 372 
327 250 405 
49 160 510 
334 240 852 
247 199 815 
456 278 999 
296 168 602 
161 129 483 
303 93 242 
314 411 323 
80 135 88 
304 301 848 
84 484 454 
284 11 536 
472 48 57 
381 400 522 
110 134 778 
265 239 263 
455 250 593 
357 13 299 
356 35 209 
495 433 234 
404 120 532 
9 141 226 
185 476 898 
496 468 619 
475 326 62 
119 280 95 
214 99 20 
177 467 149 
21 238 874 
354 479 596 
376 430 484 
234 18 126 
383 390 238 
147 327 801 
19 451 894 
393 415 505 
448 488 235 
456 204 533 
476 79 1 
123 86 438 
196 192 321 
93 8 358 
180 48 136 
490 273 655 
452 481 660 
78 366 734 
477 95 87 
87 195 995 
467 241 594 
290 64 475 
444 159 670 
28 488 46 
122 433 426 
409 345 769 
210 375 874 
97 197 90 
13 283 573 
474 263 168 
340 369 736 
113 246 844 
169 24 691 
431 30 70 
472 255 744 
37 336 524 
293 383 720 
364 149 389 
234 150 973 
440 424 833 
264 498 291 
244 491 715 
316 225 755 
34 64 451 
245 33 710 
211 125 385 
314 483 540 
358 104 642 
207 320 124 
347 227 359 
287 7 629 
164 359 451 
256 289 557 
228 453 341 
98 178 832 
430 254 514 
149 326 490 
83 228 612 
125 53 676 
341 282 36 
409 140 169 
250 280 326 
292 35 119 
348 145 811 
417 344 307 
195 362 241 
407 470 625 
263 136 938 
496 31 303 
326 104 439 
208 341 810 
437 36 599 
238 94 417 
345 366 817 
459 157 339 
4 153 96 
443 435 676 
480 306 222 
413 464 328 
143 221 656 
157 366 621 
367 85 783 
196 477 287 
422 338 527 
425 408 591 
232 291 334 
324 294 112 
340 434 958 
438 498 1000 
83 182 662 
165 8 948 
408 61 690 
294 422 648 
486 422 988 
295 443 622 
124 310 419 
369 183 173 
194 470 92 
191 288 225 
117 463 988 
113 478 566 
74 49 261 
94 245 831 
348 146 889 
389 384 35 
257 205 620 
4 200 655 
405 344 540 
233 201 62 
243 46 872 
446 124 599 
169 310 266 
483 130 506 
209 343 43 
143 219 817 
384 435 990 
447 198 457 
471 168 620 
56 201 545 
256 317 943 
431 230 18 
402 112 461 
94 294 968 
5 196 266 
327 82 515 
85 210 161 
89 336 363 
382 444 196 
98 24 525 
294 195 932 
79 101 109 
89 56 42 
116 381 941 
452 344 415 
286 477 682 
23 194 633 
29 126 352 
441 208 551 
116 445 36 
286 114 251 
306 178 256 
219 406 504 
430 180 173 
66 337 196 
93 267 174 
30 422 583 
55 225 390 
230 386 481 
89 279 12 
347 135 606 
258 225 885 
377 304 30 
400 209 889 
238 382 279 
43 257 951 
424 5 690 
467 276 122 
105 371 279 
446 498 745 
239 149 374 
309 311 330 
165 395 803 
154 255 350 
186 410 967 
479 81 709 
125 415 725 
280 426 120 
271 291 810 
401 206 704 
426 328 341 
93 159 337 
333 438 61 
292 210 478 
467 334 477 
246 38 713 
12 229 256 
424 261 256 
315 109 490 
164 169 620 
51 313 784 
144 403 922 
121 380 712 
225 412 232 
27 435 38 
36 174 242 
388 306 261 
266 444 958 
36 368 214 
487 474 965 
249 406 114 
297 355 907 
1 32 571 
455 255 928 
54 448 35 
419 431 957 
8 274 8 
32 472 431 
307 212 110 
47 256 207 
400 371 336 
376 430 337 
479 382 202 
470 53 631 
162 270 285 
220 149 748 
427 311 437 
31 244 915 
451 119 103 
335 299 705 
259 168 377 
252 369 485 
479 237 64 
189 129 860 
58 458 343 
149 302 39 
303 71 932 
485 338 450 
